SAM,ERGAS
3.33009996274898,7.045822668979956
4.21351548044592,6.736392189069424
6.857624282882754,8.291357311846332
6.405122912913084,7.190358683540167
7.5295096033282665,8.560888873672065
7.408034407481887,8.664718693958608
7.370448578363573,8.943842775053442
7.824110493415282,8.471504201682336
8.10713686149278,8.586802093473276
7.077530723672462,8.253611585323487
8.444759425624033,9.21763358345635
7.750316072568903,8.732166539146174
8.024285578204477,8.620180443491803
8.142250548539815,8.151731320978199
7.625084644034596,7.669846393132085
8.4787045783091,8.99341958384336
8.264094583193051,8.391902072391055
7.0179749797511395,7.128971321753981
8.851938539844676,8.759503202362422
8.715470901898616,9.412249023594631
